text,weather_intent,action,aggregation,location,time
Conrast soil moistre at 10 m in Hatikali with Baniyala Churu day after tomorow,SOIL_MOISTURE,COMPARE,RAW,"[""Hatikali"", ""Baniyala Churu""]","[""day after tomorow""]"
How is the climate in Rome today?,CURRENT_CONDITIONS,GET,RAW,"[""Rome""]","[""today""]"
"Give me a heads up abuot the dhoop in Kinaidih, Raghunathpur, Puruliya now",SUNSHINE,ALERT,RAW,"[""Kinaidih, Raghunathpur, Puruliya""]","[""now""]"
Any idea what the degrees does in Andole from 9:43 am to 1 PM?,TEMPERATURE,GET,RAW,"[""Andole""]","[""9:43 am to 1 PM""]"
"Minimum wind comse from in Badhaiya, Hanumana?",WIND_DIRECTION,GET,MIN,"[""Badhaiya, Hanumana""]",[]
How is the dew leveel in Sarkuri by 4:50 PM,DEW_POINT,GET,RAW,"[""Sarkuri""]","[""4:50 PM""]"
flag the daytime high for paraspatti mjahwar later today?,TEMPERATURE_MAX,ALERT,RAW,"[""paraspatti mjahwar""]","[""later today""]"
"Is the future weather in Hastnapur, Madhya Pradesh different next 6 hours and 4:45 AM",FORECAST,COMPARE,RAW,"[""Hastnapur, Madhya Pradesh""]","[""next 6 hours"", ""4:45 AM""]"
"Kinly share the sun for Akhara, Pauri Garhwal day after tomorow pls",SUNSHINE,GET,RAW,"[""Akhara, Pauri Garhwal""]","[""day after tomorow""]"
"How does the probability of rain in Naran Khera, Bhilwara compare with Dominica 2nite?",RAIN,COMPARE,RAW,"[""Naran Khera, Bhilwara"", ""Dominica""]","[""2nite""]"
Send me an alert if the temperture of soil is unusual in Gothani tomorrow,SOIL_TEMPERATURE,ALERT,RAW,"[""Gothani""]","[""tomorrow""]"
Extendded forecast Tahliwala Jattan Punjab pls,FORECAST,GET,RAW,"[""Tahliwala Jattan Punjab""]",[]
Minimum wind Laro tomorrow morning,WIND_SPEED,GET,MIN,"[""Laro""]","[""tomorrow morning""]"
Put the is it going to rain in our village against Kahar Para Barpeta right now,RAIN,COMPARE,RAW,"[""our village"", ""Kahar Para Barpeta""]","[""right now""]"
Is soil temperature 10cm advisory issued,SOIL_TEMPERATURE,ALERT,RAW,[],[]
"asap Cloud percentage in Taiwan, Kahar Para and Khatauli Rural, Muzaffarnagar",CLOUD_COVER,COMPARE,RAW,"[""Taiwan"", ""Kahar Para"", ""Khatauli Rural, Muzaffarnagar""]",[]
Show me the moisture at 40cm in Kasipur Balasore (Baleshwar) tmrw,SOIL_MOISTURE,GET,RAW,"[""Kasipur Balasore (Baleshwar)""]","[""tmrw""]"
Give me a heads up about soil moistur in Barkhedi Piploda Ratlam Madhya Pradesh on Sunday,SOIL_MOISTURE,ALERT,RAW,"[""Barkhedi Piploda Ratlam Madhya Pradesh""]","[""Sunday""]"
