text,weather_intent,action,location,time
"What is the weather like in Hyderabad today?",CURRENT_CONDITIONS,GET,"[""Hyderabad""]","[""today""]"
"Tell me the current weather in London",CURRENT_CONDITIONS,GET,"[""London""]","[]"
"Is it nice outside in Paris right now?",CURRENT_CONDITIONS,GET,"[""Paris""]","[""right now""]"
"How is the weather today in Tokyo?",CURRENT_CONDITIONS,GET,"[""Tokyo""]","[""today""]"
"What's the weather like in Sydney?",CURRENT_CONDITIONS,GET,"[""Sydney""]","[]"
"Can you give me the weather update for Vizag?",CURRENT_CONDITIONS,GET,"[""Vizag""]","[]"
"What is the weather conditions in Berlin?",CURRENT_CONDITIONS,GET,"[""Berlin""]","[]"
"How is the climate in Rome today?",CURRENT_CONDITIONS,GET,"[""Rome""]","[""today""]"
"Give me the current weather for Chicago",CURRENT_CONDITIONS,GET,"[""Chicago""]","[]"
"What's the current weather near me?",CURRENT_CONDITIONS,GET,"[""near me""]","[]"
"How's the weather here right now?",CURRENT_CONDITIONS,GET,"[""here""]","[""right now""]"
"What's the weather forecast for this weekend in Toronto?",FORECAST,GET,"[""Toronto""]","[""this weekend""]"
"Show me the 7 day weather forecast for San Francisco",FORECAST,GET,"[""San Francisco""]","[""7 day""]"
"What is the 5-day forecast for Dubai?",FORECAST,GET,"[""Dubai""]","[""5-day""]"
"What will the weather be like tomorrow in Denver?",FORECAST,GET,"[""Denver""]","[""tomorrow""]"
"Give me the weekly forecast for Rajahmundry",FORECAST,GET,"[""Rajahmundry""]","[""weekly""]"
"What's the forecast for Singapore tomorrow?",FORECAST,GET,"[""Singapore""]","[""tomorrow""]"
"Show me the upcoming weather for Seoul",FORECAST,GET,"[""Seoul""]","[]"
"What is the weekend forecast in Mumbai?",FORECAST,GET,"[""Mumbai""]","[""weekend""]"
"Give me the weather report for Telangana next week",FORECAST,GET,"[""Telangana""]","[""next week""]"
"What's the temperature in Tokyo right now?",TEMPERATURE,GET,"[""Tokyo""]","[""right now""]"
"How hot is it in Chennai today?",TEMPERATURE,GET,"[""Chennai""]","[""today""]"
"Is it cold outside in Boston?",TEMPERATURE,GET,"[""Boston""]","[]"
"How many degrees is it in Bengaluru?",TEMPERATURE,GET,"[""Bengaluru""]","[]"
"What is the current temperature in Dallas?",TEMPERATURE,GET,"[""Dallas""]","[]"
"Is it warm today in Hyderabad?",TEMPERATURE,GET,"[""Hyderabad""]","[""today""]"
"Tell me the temperature in Madrid",TEMPERATURE,GET,"[""Madrid""]","[]"
"What degree is it in Vancouver?",TEMPERATURE,GET,"[""Vancouver""]","[]"
"How cold is it in Moscow right now?",TEMPERATURE,GET,"[""Moscow""]","[""right now""]"
"What is the temperature in AP tomorrow?",TEMPERATURE,GET,"[""AP""]","[""tomorrow""]"
"What's the temperature near me right now?",TEMPERATURE,GET,"[""near me""]","[""right now""]"
"What is the minimum temperature in Vizag tonight?",TEMPERATURE_MIN,GET,"[""Vizag""]","[""tonight""]"
"What's the lowest temperature expected tomorrow in Denver?",TEMPERATURE_MIN,GET,"[""Denver""]","[""tomorrow""]"
"What is the minimum temperature in Hyderabad on Friday?",TEMPERATURE_MIN,GET,"[""Hyderabad""]","[""Friday""]"
"Show me the lowest temp in Auckland tonight",TEMPERATURE_MIN,GET,"[""Auckland""]","[""tonight""]"
"How low will the temperature drop in Rajahmundry tomorrow morning?",TEMPERATURE_MIN,GET,"[""Rajahmundry""]","[""tomorrow morning""]"
"What is the min temperature in AP this weekend?",TEMPERATURE_MIN,GET,"[""AP""]","[""this weekend""]"
"What is the high temperature in Atlanta today?",TEMPERATURE_MAX,GET,"[""Atlanta""]","[""today""]"
"What's the maximum temperature tomorrow in Cairo?",TEMPERATURE_MAX,GET,"[""Cairo""]","[""tomorrow""]"
"What is the highest temperature in Delhi on Friday?",TEMPERATURE_MAX,GET,"[""Delhi""]","[""Friday""]"
"Show me the max temperature in Phoenix this afternoon",TEMPERATURE_MAX,GET,"[""Phoenix""]","[""this afternoon""]"
"How hot will it get in Hyderabad tomorrow evening?",TEMPERATURE_MAX,GET,"[""Hyderabad""]","[""tomorrow evening""]"
"What is the max temp predicted for Bangkok next week?",TEMPERATURE_MAX,GET,"[""Bangkok""]","[""next week""]"
"Is it going to rain today in London?",RAIN,GET,"[""London""]","[""today""]"
"Will I need an umbrella in Vancouver?",RAIN,GET,"[""Vancouver""]","[]"
"Is rain expected in Sydney this afternoon?",RAIN,GET,"[""Sydney""]","[""this afternoon""]"
"Is it raining right now in Dublin?",RAIN,GET,"[""Dublin""]","[""right now""]"
"Do I need a raincoat for Manchester?",RAIN,GET,"[""Manchester""]","[]"
"Will there be heavy rainfall in Seattle today?",RAIN,GET,"[""Seattle""]","[""today""]"
"Is it pouring outside in Portland?",RAIN,GET,"[""Portland""]","[]"
"Are we getting showers in Amsterdam today?",RAIN,GET,"[""Amsterdam""]","[""today""]"
"Will it drizzle in San Jose today?",RAIN,GET,"[""San Jose""]","[""today""]"
"Is rain predicted for Melbourne tonight?",RAIN,GET,"[""Melbourne""]","[""tonight""]"
"Will it rain in Rajahmundry tomorrow?",RAIN,GET,"[""Rajahmundry""]","[""tomorrow""]"
"How humid is it in Singapore right now?",HUMIDITY,GET,"[""Singapore""]","[""right now""]"
"What is the humidity level in Houston today?",HUMIDITY,GET,"[""Houston""]","[""today""]"
"Is it very humid outside in Mumbai?",HUMIDITY,GET,"[""Mumbai""]","[]"
"What's the relative humidity in Hyderabad tomorrow?",HUMIDITY,GET,"[""Hyderabad""]","[""tomorrow""]"
"Show me the humidity forecast for Vizag this evening",HUMIDITY,GET,"[""Vizag""]","[""this evening""]"
"How muggy will it be in Chennai on Friday?",HUMIDITY,GET,"[""Chennai""]","[""Friday""]"
"What's the dew point in Miami right now?",DEW_POINT,GET,"[""Miami""]","[""right now""]"
"What is the current dew point temperature in Rio de Janeiro?",DEW_POINT,GET,"[""Rio de Janeiro""]","[]"
"Give me the dew point reading for Kolkata today",DEW_POINT,GET,"[""Kolkata""]","[""today""]"
"How high is the dew point in Hyderabad tonight?",DEW_POINT,GET,"[""Hyderabad""]","[""tonight""]"
"What is the dew point forecast for Chicago tomorrow?",DEW_POINT,GET,"[""Chicago""]","[""tomorrow""]"
"How windy is it in Chicago right now?",WIND_SPEED,GET,"[""Chicago""]","[""right now""]"
"Is there high wind today in San Diego?",WIND_SPEED,GET,"[""San Diego""]","[""today""]"
"What is the wind speed in San Francisco?",WIND_SPEED,GET,"[""San Francisco""]","[]"
"Is it breezy outside in Wellington?",WIND_SPEED,GET,"[""Wellington""]","[]"
"Are there strong gusts of wind in Oklahoma City?",WIND_SPEED,GET,"[""Oklahoma City""]","[]"
"How strong are the winds in Honolulu?",WIND_SPEED,GET,"[""Honolulu""]","[]"
"Is it very windy in Dallas today?",WIND_SPEED,GET,"[""Dallas""]","[""today""]"
"What is the wind speed in Vizag tomorrow?",WIND_SPEED,GET,"[""Vizag""]","[""tomorrow""]"
"Which direction is the wind coming from in Sydney?",WIND_DIRECTION,GET,"[""Sydney""]","[]"
"What's the wind direction in Chicago right now?",WIND_DIRECTION,GET,"[""Chicago""]","[""right now""]"
"Where is the wind blowing from in Hyderabad today?",WIND_DIRECTION,GET,"[""Hyderabad""]","[""today""]"
"What is the predicted wind direction in Vizag tonight?",WIND_DIRECTION,GET,"[""Vizag""]","[""tonight""]"
"Show me the wind vector for Boston tomorrow morning",WIND_DIRECTION,GET,"[""Boston""]","[""tomorrow morning""]"
"Will it be sunny this afternoon in Paris?",SUNSHINE,GET,"[""Paris""]","[""this afternoon""]"
"How much sunshine will Hyderabad get tomorrow?",SUNSHINE,GET,"[""Hyderabad""]","[""tomorrow""]"
"Is it sunny right now in Los Angeles?",SUNSHINE,GET,"[""Los Angeles""]","[""right now""]"
"Will we have clear sunny skies in Vizag on Friday?",SUNSHINE,GET,"[""Vizag""]","[""Friday""]"
"What's the solar exposure forecast for Telangana tomorrow?",SUNSHINE,GET,"[""Telangana""]","[""tomorrow""]"
"How cloudy will it be tomorrow in Seattle?",CLOUD_COVER,GET,"[""Seattle""]","[""tomorrow""]"
"What is the cloud cover percentage in London today?",CLOUD_COVER,GET,"[""London""]","[""today""]"
"Is it overcast right now in Dublin?",CLOUD_COVER,GET,"[""Dublin""]","[""right now""]"
"Will there be low clouds in Rajahmundry tonight?",CLOUD_COVER,GET,"[""Rajahmundry""]","[""tonight""]"
"Show cloudiness for Hyderabad tomorrow morning",CLOUD_COVER,GET,"[""Hyderabad""]","[""tomorrow morning""]"
"What's the soil moisture in the field in AP?",SOIL_MOISTURE,GET,"[""AP""]","[]"
"Give me the 10cm soil moisture level for Hyderabad today",SOIL_MOISTURE,GET,"[""Hyderabad""]","[""today""]"
"How moist is the soil at 40cm in Vizag?",SOIL_MOISTURE,GET,"[""Vizag""]","[]"
"What is the soil moisture reading near me?",SOIL_MOISTURE,GET,"[""near me""]","[]"
"Show soil moisture forecast for Rajahmundry tomorrow",SOIL_MOISTURE,GET,"[""Rajahmundry""]","[""tomorrow""]"
"Is the soil temperature warm enough in AP today?",SOIL_TEMPERATURE,GET,"[""AP""]","[""today""]"
"What is the soil temp at 10cm in Hyderabad?",SOIL_TEMPERATURE,GET,"[""Hyderabad""]","[]"
"Give me the soil temperature reading for Vizag tomorrow",SOIL_TEMPERATURE,GET,"[""Vizag""]","[""tomorrow""]"
"How warm is the farm soil right now?",SOIL_TEMPERATURE,GET,"[]","[""right now""]"
"Check soil temperature in Telangana this weekend",SOIL_TEMPERATURE,GET,"[""Telangana""]","[""this weekend""]"
"Compare rainfall in Hyderabad and Chennai tomorrow",RAIN,COMPARE,"[""Hyderabad"", ""Chennai""]","[""tomorrow""]"
"Compare temperature between Delhi and Mumbai next week",TEMPERATURE,COMPARE,"[""Delhi"", ""Mumbai""]","[""next week""]"
"Compare minimum temperature in Tokyo and Seoul tonight",TEMPERATURE_MIN,COMPARE,"[""Tokyo"", ""Seoul""]","[""tonight""]"
"Compare humidity levels in Singapore and Dubai today",HUMIDITY,COMPARE,"[""Singapore"", ""Dubai""]","[""today""]"
"Compare wind speed between Chicago and Boston",WIND_SPEED,COMPARE,"[""Chicago"", ""Boston""]","[]"
"Compare soil moisture in AP and Telangana tomorrow",SOIL_MOISTURE,COMPARE,"[""AP"", ""Telangana""]","[""tomorrow""]"
"Compare cloud cover between Seattle and London this evening",CLOUD_COVER,COMPARE,"[""Seattle"", ""London""]","[""this evening""]"
"Alert me if it rains in Rajahmundry tonight",RAIN,ALERT,"[""Rajahmundry""]","[""tonight""]"
"Send an alert for high temperature in Hyderabad tomorrow",TEMPERATURE_MAX,ALERT,"[""Hyderabad""]","[""tomorrow""]"
"Notify me if wind speed exceeds 40 kmh in Vizag",WIND_SPEED,ALERT,"[""Vizag""]","[]"
"Set an alert for freezing soil temperature in AP on Friday",SOIL_TEMPERATURE,ALERT,"[""AP""]","[""Friday""]"
"Alert me if humidity drops below 20 percent in Delhi",HUMIDITY,ALERT,"[""Delhi""]","[]"
"Warn me if heavy cloud cover is expected in London tomorrow",CLOUD_COVER,ALERT,"[""London""]","[""tomorrow""]"
