text,weather_intent,action,location,time,pred_weather_intent,pred_action,pred_location,pred_time,missed,split
remidner for soil temperature 10cm pail now,SOIL_TEMPERATURE,ALERT,['pail'],['now'],SOIL_TEMPERATURE,ALERT,[],['now'],location,test
"How the weekyl weataer nearby compare with Moh Gaon, Unnao, Uttarpradesh now?",FORECAST,COMPARE,"['nearby', 'Moh Gaon, Unnao, Uttarpradesh']",['now'],CURRENT_CONDITIONS,COMPARE,"['nearby', 'Moh Gaon, Unnao, Uttarpradesh']",['now'],weather_intent,test
Wich has more groound moistore Deopada Nashik or Tendumuda,SOIL_MOISTURE,COMPARE,"['Deopada Nashik', 'Tendumuda']",[],RAIN,COMPARE,"['Deopada Nashik', 'Tendumuda']",[],weather_intent,test
"Hastnapur, Madhya Pradesh today dew level",DEW_POINT,GET,"['Hastnapur, Madhya Pradesh']",['today'],DEW_POINT,COMPARE,"['Hastnapur, Madhya Pradesh']",['today'],action,test
"compare higheit temp in kattangudi vs kandari kh., jlana next weekend",TEMPERATURE_MAX,COMPARE,"['kattangudi', 'kandari kh., jlana']",['next weekend'],TEMPERATURE,COMPARE,"['kattangudi', 'kandari kh., jlana']",['next weekend'],weather_intent,test
Do you have the suony data for Lonar this morning?,SUNSHINE,GET,['Lonar'],['this morning'],RAIN,GET,['Lonar'],['this morning'],weather_intent,test
"papri versus motlapallle, jayashankar bhupalapally highhest tempreature next weekend",TEMPERATURE_MAX,COMPARE,"['papri', 'motlapallle, jayashankar bhupalapally']",['next weekend'],TEMPERATURE_MAX,COMPARE,"['motlapallle, jayashankar bhupalapally']",['next weekend'],location,test
Need to know rain forecast later today,RAIN,GET,[],['later today'],RAIN,GET,[],"['later', 'today']",time,test
"Which has higehr humidity level, Mahadih Narayanpur or Bulaki Tola Purbi Champaran from 1 AM to 8 AM?",HUMIDITY,COMPARE,"['Mahadih Narayanpur', 'Bulaki Tola Purbi Champaran']",['1 AM to 8 AM'],HUMIDITY,COMPARE,"['Mahadih', 'Narayanpur', 'Bulaki Tola Purbi Champaran']",['1 AM to 8 AM'],location,test
"Which has higher rain chane, Naran Khera or Wargal, Siddipet from 7 am to 9:30 pm?",RAIN,COMPARE,"['Naran Khera', 'Wargal, Siddipet']",['7 am to 9:30 pm'],RAIN,COMPARE,"['chane, Naran Khera', 'Wargal, Siddipet']",['7 am to 9:30 pm'],location,test
is any vataavarnaam advisory issued on monday?,CURRENT_CONDITIONS,ALERT,[],['monday'],RAIN,ALERT,[],['monday'],weather_intent,test
How does the poedition in Tendumuda compare with B Koduru Andhra Pradesh early morning?,FORECAST,COMPARE,"['Tendumuda', 'B Koduru Andhra Pradesh']",['early morning'],RAIN,COMPARE,"['Tendumuda', 'B Koduru Andhra Pradesh']",['early morning'],weather_intent,test
how does the prdeiction in laram jangi pora jaammu and kashmir 6 pm compare to 12:30 pm?,FORECAST,COMPARE,['laram jangi pora jaammu and kashmir'],"['6 pm', '12:30 pm']",FORECAST,COMPARE,"['laram jangi pora jaammu', 'kashmir']","['6 pm', '12:30 pm']",location,test
Keep me postted on the barsh in Dibrugarh 2day,RAIN,ALERT,['Dibrugarh'],['2day'],TEMPERATURE,ALERT,['Dibrugarh'],['2day'],weather_intent,test
Rn lowest temperature figurse in my villaeg,TEMPERATURE_MIN,GET,['my villaeg'],['Rn'],TEMPERATURE_MIN,GET,['my villaeg'],[],time,test
"Auranga Bad versus Habaspur, Danapur degere tomorrow morning",TEMPERATURE,COMPARE,"['Auranga Bad', 'Habaspur, Danapur']",['tomorrow morning'],CLOUD_COVER,COMPARE,"['Auranga Bad', 'Habaspur, Danapur']",['tomorrow morning'],weather_intent,test
Notifiy me about the snuny in Gundaram on Monday,SUNSHINE,ALERT,['Gundaram'],['Monday'],RAIN,ALERT,['Gundaram'],['Monday'],weather_intent,test
"Do you have the weathr data for Belsauna, Lambhua around 9 am?",CURRENT_CONDITIONS,GET,"['Belsauna, Lambhua']",['9 am'],FORECAST,GET,"['Belsauna, Lambhua']",['9 am'],weather_intent,test
"Majha Mahripur or Nagaland, India better soil moistur this week",SOIL_MOISTURE,COMPARE,"['Majha Mahripur', 'Nagaland, India']",['this week'],SOIL_MOISTURE,COMPARE,"['Majha', 'Mahripur', 'Nagaland, India']",['this week'],location,test
Tell diffrence weather now Timmarajapuram Baleal later today,CURRENT_CONDITIONS,COMPARE,"['Timmarajapuram', 'Baleal']",['later today'],CURRENT_CONDITIONS,COMPARE,['Timmarajapuram Baleal'],['later today'],location,test
Do i need to irriagte in Thethar today?,SOIL_MOISTURE,GET,['Thethar'],['today'],RAIN,GET,['Thethar'],['today'],weather_intent,test
"which is better for cloudy, chirakuta pt.ii or tambwa bid maharashtra?",CLOUD_COVER,COMPARE,"['chirakuta pt.ii', 'tambwa bid maharashtra']",[],CLOUD_COVER,COMPARE,"['chirakuta pt', 'ii', 'tambwa bid maharashtra']",[],location,test
"Which is better for climate right now, Iowa, United States or Jangal Thanal?",CURRENT_CONDITIONS,COMPARE,"['Iowa, United States', 'Jangal Thanal']",[],CURRENT_CONDITIONS,COMPARE,"['Iowa, United States', 'Jangal Thanal']",['now'],time,test
"Clodus Parbahal, Puruliya tmrw pls",CLOUD_COVER,GET,"['Parbahal, Puruliya']",['tmrw'],CLOUD_COVER,GET,"['Clodus', 'Parbahal, Puruliya']",['tmrw'],location,test
Humidity percentage aleat Kherli Chanerawat,HUMIDITY,ALERT,['Kherli Chanerawat'],[],HUMIDITY,GET,['Kherli Chanerawat'],[],action,test
Santkabirnagar and Gurudayalpur F.v. dew this afternoon bro,DEW_POINT,COMPARE,"['Santkabirnagar', 'Gurudayalpur F.v.']",['this afternoon'],DEW_POINT,COMPARE,"['Santkabirnagar', 'Gurudayalpur F.', '.']",['this afternoon'],location,test
