chat_id,turn,text,intent,variables,aggregation,locations,times,operation,ctx_locations,ctx_times,split,source,lang
v1-tr-00000,0,Conrast soil moistre at 10 m in Hatikali with Baniyala Churu day after tomorow,COMPARE,SOIL_MOISTURE,RAW,"[""Hatikali"", ""Baniyala Churu""]","[""day after tomorow""]",SET,"[""Hatikali"", ""Baniyala Churu""]","[""day after tomorow""]",train,v1,en
v1-tr-00001,0,How is the climate in Rome today?,CURRENT,GENERAL,RAW,"[""Rome""]","[""today""]",SET,"[""Rome""]","[""today""]",train,v1,en
v1-tr-00002,0,"Give me a heads up abuot the dhoop in Kinaidih, Raghunathpur, Puruliya now",ALERT,SUNSHINE,RAW,"[""Kinaidih, Raghunathpur, Puruliya""]","[""now""]",SET,"[""Kinaidih, Raghunathpur, Puruliya""]","[""now""]",train,v1,en
v1-tr-00003,0,Any idea what the degrees does in Andole from 9:43 am to 1 PM?,FORECAST,TEMPERATURE,RAW,"[""Andole""]","[""9:43 am to 1 PM""]",SET,"[""Andole""]","[""9:43 am to 1 PM""]",train,v1,en
v1-tr-00004,0,"Minimum wind comse from in Badhaiya, Hanumana?",CURRENT,WIND_DIRECTION,MIN,"[""Badhaiya, Hanumana""]",[],SET,"[""Badhaiya, Hanumana""]",[],train,v1,en
v1-tr-00005,0,How is the dew leveel in Sarkuri by 4:50 PM,FORECAST,DEW_POINT,RAW,"[""Sarkuri""]","[""4:50 PM""]",SET,"[""Sarkuri""]","[""4:50 PM""]",train,v1,en
v1-tr-00006,0,flag the daytime high for paraspatti mjahwar later today?,ALERT,TEMPERATURE_MAX,RAW,"[""paraspatti mjahwar""]","[""later today""]",SET,"[""paraspatti mjahwar""]","[""later today""]",train,v1,en
v1-tr-00007,0,"Is the future weather in Hastnapur, Madhya Pradesh different next 6 hours and 4:45 AM",COMPARE,GENERAL,RAW,"[""Hastnapur, Madhya Pradesh""]","[""next 6 hours"", ""4:45 AM""]",SET,"[""Hastnapur, Madhya Pradesh""]","[""next 6 hours"", ""4:45 AM""]",train,v1,en
v1-tr-00008,0,"Kinly share the sun for Akhara, Pauri Garhwal day after tomorow pls",FORECAST,SUNSHINE,RAW,"[""Akhara, Pauri Garhwal""]","[""day after tomorow""]",SET,"[""Akhara, Pauri Garhwal""]","[""day after tomorow""]",train,v1,en
v1-tr-00009,0,"How does the probability of rain in Naran Khera, Bhilwara compare with Dominica 2nite?",COMPARE,RAIN,RAW,"[""Naran Khera, Bhilwara"", ""Dominica""]","[""2nite""]",SET,"[""Naran Khera, Bhilwara"", ""Dominica""]","[""2nite""]",train,v1,en
v1-tr-00010,0,Send me an alert if the temperture of soil is unusual in Gothani tomorrow,ALERT,SOIL_TEMPERATURE,RAW,"[""Gothani""]","[""tomorrow""]",SET,"[""Gothani""]","[""tomorrow""]",train,v1,en
v1-tr-00011,0,Extendded forecast Tahliwala Jattan Punjab pls,CURRENT,GENERAL,RAW,"[""Tahliwala Jattan Punjab""]",[],SET,"[""Tahliwala Jattan Punjab""]",[],train,v1,en
v1-tr-00012,0,Minimum wind Laro tomorrow morning,FORECAST,WIND_SPEED,MIN,"[""Laro""]","[""tomorrow morning""]",SET,"[""Laro""]","[""tomorrow morning""]",train,v1,en
v1-tr-00013,0,Put the is it going to rain in our village against Kahar Para Barpeta right now,COMPARE,RAIN,RAW,"[""our village"", ""Kahar Para Barpeta""]","[""right now""]",SET,"[""our village"", ""Kahar Para Barpeta""]","[""right now""]",train,v1,en
v1-tr-00014,0,Is soil temperature 10cm advisory issued,ALERT,SOIL_TEMPERATURE,RAW,[],[],SET,[],[],train,v1,en
v1-tr-00015,0,"asap Cloud percentage in Taiwan, Kahar Para and Khatauli Rural, Muzaffarnagar",COMPARE,CLOUD_COVER,RAW,"[""Taiwan"", ""Kahar Para"", ""Khatauli Rural, Muzaffarnagar""]",[],SET,"[""Taiwan"", ""Kahar Para"", ""Khatauli Rural, Muzaffarnagar""]",[],train,v1,en
v1-tr-00016,0,Show me the moisture at 40cm in Kasipur Balasore (Baleshwar) tmrw,FORECAST,SOIL_MOISTURE,RAW,"[""Kasipur Balasore (Baleshwar)""]","[""tmrw""]",SET,"[""Kasipur Balasore (Baleshwar)""]","[""tmrw""]",train,v1,en
v1-tr-00017,0,Give me a heads up about soil moistur in Barkhedi Piploda Ratlam Madhya Pradesh on Sunday,ALERT,SOIL_MOISTURE,RAW,"[""Barkhedi Piploda Ratlam Madhya Pradesh""]","[""Sunday""]",SET,"[""Barkhedi Piploda Ratlam Madhya Pradesh""]","[""Sunday""]",train,v1,en
v1-tr-00018,0,"Check the ground moisture for both Vyas Kheri and Bahunagar Urf Sirsa, Bahheri day after tomorow",COMPARE,SOIL_MOISTURE,RAW,"[""Vyas Kheri"", ""Bahunagar Urf Sirsa, Bahheri""]","[""day after tomorow""]",SET,"[""Vyas Kheri"", ""Bahunagar Urf Sirsa, Bahheri""]","[""day after tomorow""]",train,v1,en
v1-tr-00019,0,Warn me about the how is the weather in my village now,ALERT,GENERAL,RAW,"[""my village""]","[""now""]",SET,"[""my village""]","[""now""]",train,v1,en
v1-tr-00020,0,"quick question, what is the soil moisture 40cm aroued gautambudhnagar, uttarpradesh this evening?",CURRENT,SOIL_MOISTURE,RAW,"[""gautambudhnagar, uttarpradesh""]","[""this evening""]",SET,"[""gautambudhnagar, uttarpradesh""]","[""this evening""]",train,v1,en
v1-tr-00021,0,cmopare wnd direction around here with duggha today,COMPARE,WIND_DIRECTION,RAW,"[""here"", ""duggha""]","[""today""]",SET,"[""here"", ""duggha""]","[""today""]",train,v1,en
v1-tr-00022,0,alrt if wind speeed changes in badpal,ALERT,WIND_SPEED,RAW,"[""badpal""]",[],SET,"[""badpal""]",[],train,v1,en
v1-tr-00023,0,Update me on the sunshine around 9 am,FORECAST,SUNSHINE,RAW,[],"[""9 am""]",SET,[],"[""9 am""]",train,v1,en
v1-tr-00024,0,What kind of lowest temp should i expect in Ladi Angan nxt week,FORECAST,TEMPERATURE_MIN,RAW,"[""Ladi Angan""]","[""nxt week""]",SET,"[""Ladi Angan""]","[""nxt week""]",train,v1,en
v1-tr-00025,0,Tell me if anything happens with the weather outlook in Jhuratarai in the next 8 hours,ALERT,GENERAL,RAW,"[""Jhuratarai""]","[""next 8 hours""]",SET,"[""Jhuratarai""]","[""next 8 hours""]",train,v1,en
v1-tr-00026,0,Tell me if anything happens with the weather forecast in Dumurdiha East Singhbhum on Wednesday?,ALERT,GENERAL,RAW,"[""Dumurdiha East Singhbhum""]","[""Wednesday""]",SET,"[""Dumurdiha East Singhbhum""]","[""Wednesday""]",train,v1,en
v1-tr-00027,0,Set an alart for solar exposure in Adanbeda around 3:05 pm,ALERT,SUNSHINE,RAW,"[""Adanbeda""]","[""3:05 pm""]",SET,"[""Adanbeda""]","[""3:05 pm""]",train,v1,en
v1-tr-00028,0,Is theere any cloudiness warning for Niranjan Chak right now??,ALERT,CLOUD_COVER,RAW,"[""Niranjan Chak""]","[""right now""]",SET,"[""Niranjan Chak""]","[""right now""]",train,v1,en
v1-tr-00029,0,Flag the wind direction on Saturday,ALERT,WIND_DIRECTION,RAW,[],"[""Saturday""]",SET,[],"[""Saturday""]",train,v1,en
v1-tr-00030,0,"Thinking of visiting Sahajpuri, how is the rain probability there?",CURRENT,RAIN,RAW,"[""Sahajpuri""]",[],SET,"[""Sahajpuri""]",[],train,v1,en
v1-tr-00031,0,Is the peak temperature in Tupenga higher 8:30 am to 12:30 PM or midnight,COMPARE,TEMPERATURE_MAX,RAW,"[""Tupenga""]","[""8:30 am to 12:30 PM"", ""midnight""]",SET,"[""Tupenga""]","[""8:30 am to 12:30 PM"", ""midnight""]",train,v1,en
v1-tr-00032,0,Alert me if the temperature goes above 42 degrees in Hosahali,ALERT,TEMPERATURE_MAX,RAW,"[""Hosahali""]",[],SET,"[""Hosahali""]",[],train,v1,en
v1-tr-00033,0,"Should i worry aboout the humdity in Gahhlian, Hamirpur last week?",ALERT,HUMIDITY,RAW,"[""Gahhlian, Hamirpur""]","[""last week""]",SET,"[""Gahhlian, Hamirpur""]","[""last week""]",train,v1,en
v1-tr-00034,0,"hey, can you cheeck the rain forecast for khamarpara?",CURRENT,RAIN,RAW,"[""khamarpara""]",[],SET,"[""khamarpara""]",[],train,v1,en
v1-tr-00035,0,"Qeck question, what is the long range forecast around Medakpalle?",CURRENT,GENERAL,RAW,"[""Medakpalle""]",[],SET,"[""Medakpalle""]",[],train,v1,en
v1-tr-00036,0,on average what is the hours of sun in gali bhimvaaram today?,CURRENT,SUNSHINE,AVG,"[""gali bhimvaaram""]","[""today""]",SET,"[""gali bhimvaaram""]","[""today""]",train,v1,en
v1-tr-00037,0,Check the wind speeed in my vilage early morning,FORECAST,WIND_SPEED,RAW,"[""my vilage""]","[""early morning""]",SET,"[""my vilage""]","[""early morning""]",train,v1,en
v1-tr-00038,0,"how does the overnight low aroind here compare with khatauli rural, muzaffarnagar on sunday?",COMPARE,TEMPERATURE_MIN,RAW,"[""here"", ""khatauli rural, muzaffarnagar""]","[""sunday""]",SET,"[""here"", ""khatauli rural, muzaffarnagar""]","[""sunday""]",train,v1,en
v1-tr-00039,0,Any warnings about sunlight hours in Rukhi next weekend?,ALERT,SUNSHINE,RAW,"[""Rukhi""]","[""next weekend""]",SET,"[""Rukhi""]","[""next weekend""]",train,v1,en
